Clipping,Median_Filter,Despike
40.0,77.45,77.45
40.0,77.45,78.26
40.0,77.45,79.05
40.0,77.45,86.1
40.0,75.65,74.58
40.0,74.58,73.97
40.0,74.58,73.72
40.0,74.58,75.65
40.0,74.95,73.79
40.0,74.95,76.89
40.0,75.65,76.11
40.0,76.11,74.95
40.0,76.89,71.87
40.0,76.11,83.42
40.0,74.95,90.1
40.0,71.87,78.15
40.0,69.3,69.3
40.0,63.87,63.54
40.0,63.54,63.87
40.0,63.54,58.32
40.0,63.54,56.61
40.0,61.27,55.97
40.0,61.27,63.67
40.0,63.67,66.2
40.0,66.2,61.27
40.0,69.48,69.48
40.0,76.37,76.37
40.0,82.2,82.2
40.0,82.2,90.25
40.0,82.2,94.38
40.0,82.2,87.44
40.0,70.98,70.98
40.0,64.72,64.72
40.0,64.72,54.29
40.0,64.72,41.46
40.0,64.72,50.93
40.0,72.79,72.79
40.0,72.79,95.34
40.0,73.68,102.35
40.0,73.68,79.7
40.0,73.68,66.69
40.0,71.05,73.68
40.0,66.69,71.05
40.0,57.02,57.02
40.0,57.02,43.29
36.06,57.02,36.06
40.0,57.02,46.0
40.0,60.3,60.3
40.0,75.22,75.22
40.0,75.47,87.19
40.0,75.47,86.86
40.0,75.47,88.0
40.0,75.47,75.47
40.0,59.36,59.36
40.0,55.57,55.57
40.0,55.57,46.96
40.0,55.23,43.67
40.0,54.46,55.23
40.0,46.96,61.24
40.0,47.48,54.46
40.0,54.46,43.23
40.0,54.46,44.59
40.0,54.46,47.48
40.0,55.77,61.1
40.0,55.77,64.82
40.0,61.1,55.77
40.0,62.22,62.22
40.0,64.82,55.06
40.0,71.02,71.02
40.0,91.37,91.37
40.0,93.82,115.42
40.0,93.82,115.7
40.0,93.82,107.11
40.0,93.82,93.82
40.0,61.63,61.63
40.0,45.98,45.98
32.76,40.73,32.76
37.82,37.82,37.82
40.0,33.82,40.73
33.42,33.82,33.42
32.08,37.82,32.08
33.82,40.73,33.82
40.0,45.57,45.57
40.0,53.95,53.95
40.0,59.42,59.42
40.0,68.43,68.43
40.0,72.92,75.88
40.0,72.92,77.75
40.0,72.92,80.93
40.0,72.92,72.92
40.0,72.92,65.59
40.0,72.92,64.71
40.0,72.92,60.79
40.0,78.55,78.55
40.0,87.85,107.77
40.0,87.85,110.87
40.0,87.85,106.33
40.0,87.85,87.85
40.0,80.96,80.96
40.0,66.94,66.94
40.0,66.94,61.48
40.0,66.94,58.26
40.0,66.94,51.31
40.0,67.73,67.92
40.0,67.77,67.77
40.0,67.92,67.73
40.0,68.85,68.85
40.0,73.2,73.2
40.0,84.46,84.46
40.0,88.54,96.96
40.0,88.67,95.54
40.0,89.67,88.67
40.0,91.17,88.54
40.0,89.67,92.22
40.0,88.67,89.67
40.0,88.54,91.17
40.0,85.0,83.62
