Clipping,Median_Filter,Despike
40.0,98.36,98.36
40.0,98.36,97.57
40.0,97.57,98.41
40.0,85.92,85.92
40.0,84.26,83.16
40.0,84.26,82.56
40.0,83.16,83.12
40.0,83.12,84.26
40.0,82.56,86.29
40.0,80.95,80.95
40.0,79.07,79.07
40.0,75.31,75.31
40.0,69.3,69.3
40.0,69.3,69.16
40.0,69.3,69.03
40.0,69.3,64.95
40.0,78.87,78.95
40.0,78.87,82.36
40.0,78.87,80.27
40.0,78.87,78.87
40.0,66.38,66.38
40.0,59.16,58.63
40.0,58.63,59.16
40.0,54.32,52.86
40.0,54.32,54.32
40.0,54.32,53.27
40.0,54.32,52.34
40.0,55.09,58.01
40.0,55.18,55.38
40.0,55.38,55.18
40.0,56.51,55.09
40.0,56.51,58.89
40.0,57.27,56.51
40.0,58.42,57.27
40.0,58.89,58.42
40.0,58.99,58.99
40.0,59.99,59.99
40.0,60.46,62.66
40.0,60.85,60.46
40.0,62.66,60.85
40.0,63.8,63.8
40.0,63.82,63.82
40.0,66.97,66.97
40.0,69.67,69.67
40.0,70.72,70.72
40.0,84.45,85.75
40.0,84.45,89.58
40.0,84.45,87.45
40.0,84.45,84.45
40.0,71.4,71.4
40.0,71.4,70.13
40.0,71.4,70.92
40.0,71.4,68.34
40.0,73.95,76.04
40.0,73.95,89.18
40.0,73.95,86.72
40.0,73.95,73.95
40.0,73.95,59.22
40.0,73.95,70.19
40.0,71.73,71.73
40.0,70.19,75.15
40.0,70.19,75.28
40.0,46.04,46.04
40.0,46.04,46.04
26.73,46.04,26.73
36.5,46.04,36.5
40.0,52.24,52.24
40.0,55.07,61.32
40.0,56.15,56.15
40.0,61.32,55.07
40.0,64.81,64.81
40.0,65.29,87.83
40.0,74.26,88.06
40.0,74.26,75.07
40.0,74.26,65.29
40.0,73.01,74.26
40.0,65.29,73.01
40.0,64.61,64.61
40.0,40.57,40.57
30.41,30.41,30.41
22.91,27.77,22.91
24.62,27.77,24.62
25.02,27.77,25.02
27.77,27.77,27.77
37.24,37.24,37.24
40.0,65.59,65.59
40.0,75.6,87.34
40.0,75.6,79.54
40.0,75.6,79.63
40.0,75.6,75.6
40.0,53.57,52.75
40.0,53.57,45.65
40.0,53.57,51.75
40.0,53.57,53.57
40.0,60.94,60.94
40.0,66.27,71.14
40.0,71.14,85.69
40.0,73.63,73.63
40.0,81.99,66.27
40.0,85.69,81.99
40.0,81.99,93.29
40.0,81.99,105.48
40.0,81.99,100.58
40.0,76.2,76.2
40.0,76.2,72.8
40.0,76.2,72.87
40.0,76.2,72.37
40.0,78.74,78.74
40.0,79.41,79.41
40.0,83.27,83.27
40.0,83.27,85.55
40.0,83.27,87.65
40.0,83.27,85.37
40.0,82.87,82.87
40.0,81.99,81.99
40.0,78.95,78.95
40.0,72.05,72.05
40.0,71.81,71.81
40.0,61.12,57.61
40.0,61.12,54.12
40.0,61.12,53.58
40.0,61.12,61.12
40.0,61.73,61.73
40.0,62.81,62.92
40.0,62.81,66.91
40.0,62.81,66.22
40.0,62.81,62.81
40.0,60.15,60.15
40.0,56.33,53.38
40.0,55.76,54.04
40.0,55.76,55.65
40.0,55.65,56.33
40.0,55.76,55.76
40.0,56.24,56.24
40.0,56.33,52.72
40.0,58.18,58.18
40.0,58.18,58.55
40.0,58.18,58.18
40.0,58.18,58.5
40.0,58.5,59.23
40.0,58.5,57.02
40.0,59.23,56.18
40.0,61.06,61.06
40.0,68.79,68.79
40.0,71.58,71.58
40.0,78.83,79.53
40.0,78.83,80.39
40.0,79.08,79.08
40.0,79.08,78.83
40.0,78.83,78.07
40.0,78.07,83.28
40.0,76.44,76.44
39.3,39.3,39.3
28.1,30.42,28.1
28.38,30.42,28.38
27.36,30.42,27.36
30.42,30.42,30.42
32.31,32.31,32.31
33.19,33.19,33.19
37.18,37.18,37.18
37.32,37.32,37.32
39.77,39.77,39.77
40.0,45.45,45.45
40.0,69.72,69.72
40.0,73.13,78.06
40.0,73.13,78.18
40.0,73.13,78.8
40.0,73.13,73.13
40.0,67.83,66.19
40.0,67.14,67.14
40.0,66.86,66.86
40.0,66.19,67.83
40.0,66.01,66.01
40.0,63.89,63.89
40.0,63.38,62.15
40.0,62.83,63.38
40.0,62.83,62.83
40.0,62.83,62.75
40.0,63.38,59.66
40.0,67.75,67.99
40.0,67.99,67.75
40.0,67.99,76.63
40.0,67.99,78.56
40.0,67.75,69.82
40.0,67.52,63.21
40.0,67.52,56.18
40.0,67.52,60.86
40.0,67.52,67.52
40.0,67.52,68.79
40.0,67.52,76.18
40.0,67.52,74.5
40.0,63.06,63.06
40.0,40.97,40.97
35.02,35.02,35.02
30.28,34.92,30.28
27.63,34.92,27.63
28.84,34.92,28.84
34.92,34.92,34.92
40.0,46.06,46.06
40.0,60.36,60.36
40.0,77.93,79.94
40.0,77.93,81.32
40.0,77.93,80.39
40.0,77.93,77.93
40.0,75.73,75.73
40.0,74.79,66.0
40.0,66.0,74.79
40.0,64.77,64.77
40.0,64.77,62.9
40.0,64.77,64.65
40.0,64.77,63.61
40.0,67.3,79.7
40.0,67.3,80.43
40.0,67.3,78.5
40.0,67.3,67.3
40.0,64.18,64.18
40.0,63.11,55.59
40.0,62.47,61.6
40.0,62.47,59.33
40.0,62.47,63.11
40.0,63.11,62.47
40.0,69.97,69.97
40.0,71.32,71.32
40.0,71.32,71.32
40.0,71.32,72.08
40.0,71.32,72.65
40.0,69.38,69.38
40.0,68.77,63.68
40.0,68.77,63.96
40.0,68.77,61.06
40.0,68.13,68.77
40.0,68.77,69.94
40.0,68.94,68.94
40.0,69.72,68.13
40.0,69.83,69.83
40.0,69.83,69.72
40.0,79.64,79.64
40.0,81.3,83.41
40.0,81.46,85.63
40.0,81.46,88.6
40.0,81.46,81.3
40.0,81.3,81.46
40.0,67.06,67.06
40.0,63.21,63.21
40.0,62.1,62.1
40.0,59.12,59.12
40.0,55.43,53.43
40.0,55.43,55.43
40.0,55.43,50.01
40.0,55.43,54.96
40.0,56.29,56.29
40.0,57.56,57.56
40.0,59.71,59.71
40.0,59.88,59.88
40.0,60.4,62.44
40.0,62.44,65.13
40.0,62.44,60.4
40.0,63.4,63.4
40.0,65.13,65.4
40.0,65.4,60.44
40.0,71.83,71.83
40.0,71.83,78.1
40.0,71.83,82.34
40.0,71.83,85.94
40.0,71.56,71.56
40.0,69.26,69.26
40.0,65.79,65.79
40.0,62.0,58.76
40.0,61.56,60.11
40.0,61.56,62.0
40.0,60.11,61.56
40.0,61.56,58.39
40.0,62.0,62.03
40.0,62.03,58.92
40.0,62.43,62.43
40.0,63.11,63.32
40.0,63.11,64.42
40.0,63.32,63.11
40.0,63.32,63.11
40.0,63.95,68.73
40.0,63.95,68.82
40.0,68.73,63.27
40.0,68.82,63.95
40.0,70.47,73.72
40.0,73.72,70.47
40.0,74.51,78.62
40.0,74.51,81.91
40.0,74.51,77.68
40.0,74.51,74.51
40.0,66.9,66.9
26.06,26.06,26.06
20.73,20.85,20.73
18.4,20.85,18.4
20.07,20.85,20.07
20.85,20.85,20.85
24.51,24.51,24.51
37.82,37.82,37.82
40.0,67.67,79.36
40.0,67.67,78.41
40.0,70.0,70.0
40.0,70.08,67.67
40.0,70.08,67.38
40.0,70.0,70.08
40.0,67.67,72.4
40.0,67.38,70.73
40.0,65.14,65.14
40.0,52.05,52.05
30.56,31.3,30.56
25.47,31.3,25.47
25.34,31.3,25.34
31.3,31.3,31.3
40.0,45.23,45.23
40.0,47.58,53.09
40.0,47.58,53.66
40.0,47.58,48.3
40.0,48.3,47.58
40.0,48.3,44.54
40.0,48.3,45.57
40.0,49.17,49.17
40.0,58.97,58.97
40.0,78.86,78.86
40.0,78.86,100.24
40.0,94.67,97.94
40.0,97.94,94.67
40.0,97.99,78.63
40.0,97.99,97.99
40.0,130.86,130.86
40.0,130.86,167.9
40.0,130.86,191.7
40.0,130.86,149.65
40.0,75.83,75.83
40.0,72.32,66.28
40.0,72.26,69.44
40.0,69.67,69.67
40.0,69.44,72.32
40.0,69.44,72.26
40.0,69.17,66.6
40.0,67.63,66.67
40.0,67.63,67.49
40.0,67.63,69.17
40.0,67.71,67.63
40.0,69.17,74.65
40.0,69.34,69.34
40.0,69.85,67.71
40.0,71.24,69.85
40.0,69.85,72.99
40.0,71.24,72.73
40.0,72.51,71.24
40.0,72.73,65.18
40.0,72.73,76.51
40.0,72.51,72.51
40.0,72.96,73.66
40.0,72.96,72.96
40.0,72.51,66.05
40.0,71.32,75.61
40.0,69.16,68.69
40.0,69.16,67.49
40.0,69.16,71.32
40.0,69.16,69.16
40.0,71.32,72.18
40.0,72.18,67.16
40.0,72.18,72.36
40.0,72.36,76.08
40.0,72.36,75.85
40.0,72.36,72.11
40.0,72.44,73.8
40.0,72.44,71.57
40.0,72.44,71.38
40.0,73.8,72.44
40.0,74.87,74.87
40.0,74.87,76.01
40.0,74.87,76.11
40.0,74.87,76.47
40.0,75.04,70.18
40.0,74.62,71.13
40.0,74.62,74.62
40.0,74.62,75.04
40.0,75.01,71.03
40.0,75.01,79.47
40.0,75.01,76.72
40.0,71.03,75.01
19.52,29.43,19.52
28.87,29.43,28.87
29.43,29.43,29.43
29.4,29.43,29.4
31.05,31.05,31.05
35.29,32.75,35.29
32.75,35.29,32.75
35.61,35.61,35.61
36.27,35.61,36.27
36.51,35.61,36.51
35.86,35.61,35.86
33.77,33.77,33.77
28.53,29.95,28.53
29.12,29.54,29.12
29.54,29.54,29.54
29.95,29.54,29.95
29.36,29.95,29.36
34.62,32.74,34.62
32.74,34.62,32.74
38.04,37.83,38.04
39.18,37.83,39.18
39.55,38.04,39.55
37.83,38.04,37.83
35.09,37.83,35.09
38.17,37.83,38.17
37.4,37.4,37.4
36.2,37.4,36.2
38.73,37.4,38.73
36.86,37.4,36.86
38.24,36.86,38.24
36.1,37.2,36.1
38.5,37.2,38.5
35.87,38.24,35.87
37.2,38.5,37.2
39.89,39.89,39.89
40.0,40.73,40.73
40.0,41.81,41.81
40.0,43.87,44.47
40.0,44.47,43.87
40.0,47.4,47.4
40.0,48.75,48.75
40.0,53.77,53.77
40.0,65.61,65.61
40.0,79.98,79.98
40.0,115.6,115.6
40.0,201.75,201.75
40.0,201.75,242.75
40.0,201.75,238.02
40.0,201.75,215.23
40.0,168.12,168.12
40.0,124.8,124.8
40.0,102.74,102.74
40.0,102.74,102.74
40.0,81.37,81.37
40.0,70.46,70.46
40.0,68.63,67.29
40.0,68.63,67.61
40.0,68.63,68.63
40.0,68.63,68.45
40.0,68.63,73.25
40.0,68.63,73.21
40.0,68.45,76.24
40.0,52.57,52.57
32.84,32.84,32.84
25.16,32.84,25.16
25.16,32.84,25.16
26.22,32.84,26.22
40.0,65.36,65.36
