Clipping,Median_Filter,Despike
40.0,74.9,74.9
40.0,78.51,83.8
40.0,78.51,86.97
40.0,78.51,84.43
40.0,78.51,78.51
40.0,73.88,73.88
40.0,71.61,71.61
40.0,69.86,69.86
40.0,69.86,69.25
40.0,69.86,68.29
40.0,69.86,68.5
40.0,73.65,73.65
40.0,92.68,92.68
40.0,107.22,107.22
40.0,132.81,132.81
40.0,132.81,151.94
40.0,132.81,154.37
40.0,132.81,153.77
40.0,132.29,132.29
40.0,102.28,102.28
40.0,77.82,77.82
40.0,67.52,67.52
40.0,61.32,61.32
40.0,58.69,58.69
40.0,54.36,54.36
40.0,54.16,52.75
40.0,54.16,51.96
40.0,54.16,54.01
40.0,54.16,54.16
40.0,54.27,54.27
40.0,55.84,55.84
40.0,57.43,57.43
40.0,58.22,58.22
40.0,58.88,58.88
40.0,60.6,60.6
40.0,62.57,62.57
40.0,66.19,66.19
40.0,66.48,78.95
40.0,66.48,84.77
40.0,66.48,80.83
40.0,66.48,66.48
40.0,66.48,63.09
40.0,66.48,62.7
40.0,66.48,63.45
40.0,66.94,66.94
40.0,76.45,77.94
40.0,76.45,81.4
40.0,76.45,80.74
40.0,76.45,76.45
40.0,75.21,74.99
40.0,75.05,75.21
40.0,74.99,75.05
40.0,62.14,62.14
40.0,46.66,46.66
29.68,29.68,29.68
18.97,20.47,18.97
17.66,20.47,17.66
18.02,20.47,18.02
20.47,20.47,20.47
26.7,26.7,26.7
33.18,33.18,33.18
40.0,42.67,42.67
40.0,51.37,51.37
40.0,54.26,54.26
40.0,56.67,56.67
40.0,57.35,57.35
40.0,58.09,62.93
40.0,58.09,66.49
40.0,58.09,64.2
40.0,58.81,58.09
40.0,58.81,55.0
40.0,58.81,55.97
40.0,58.81,58.81
40.0,67.1,67.1
40.0,77.82,77.82
40.0,115.71,115.71
40.0,145.34,145.34
40.0,151.13,195.89
40.0,151.13,191.22
40.0,151.13,177.59
40.0,151.13,151.13
40.0,116.51,116.51
40.0,74.3,58.47
40.0,74.3,56.71
40.0,74.3,64.91
40.0,74.3,74.3
40.0,85.32,85.32
40.0,87.22,97.02
40.0,87.22,94.31
40.0,87.22,88.35
40.0,87.22,87.22
40.0,87.22,85.82
40.0,87.22,85.68
40.0,86.5,86.5
40.0,85.82,88.5
40.0,85.68,88.84
40.0,83.21,83.21
40.0,71.5,71.5
40.0,67.33,67.33
40.0,61.32,61.32
40.0,55.48,55.48
40.0,51.6,51.6
40.0,51.6,47.71
40.0,51.6,48.07
40.0,51.6,49.41
40.0,66.1,66.1
40.0,76.15,76.15
40.0,92.92,92.92
40.0,92.92,100.69
40.0,92.92,101.16
40.0,92.92,97.59
40.0,87.35,87.35
40.0,72.1,72.1
40.0,64.79,64.79
40.0,62.31,62.31
40.0,56.83,56.83
40.0,56.83,52.34
40.0,56.83,48.52
40.0,56.83,54.95
40.0,61.02,61.02
40.0,66.93,66.93
40.0,70.41,70.41
40.0,73.06,73.06
40.0,75.05,75.05
40.0,76.58,76.58
40.0,76.58,79.26
40.0,76.58,80.34
40.0,76.58,80.13
40.0,76.51,76.51
40.0,74.52,74.52
40.0,73.2,73.2
40.0,69.51,69.51
40.0,65.7,64.97
40.0,65.24,65.21
40.0,65.21,65.7
40.0,64.97,65.24
40.0,63.2,63.2
40.0,61.71,61.71
40.0,60.3,60.3
40.0,58.7,58.7
40.0,56.18,56.18
40.0,55.56,55.11
40.0,55.3,54.51
40.0,55.11,55.3
