Clipping,Median_Filter,Despike
40.0,118.439,118.439
40.0,102.168,92.55
40.0,92.55,102.168
40.0,88.898,88.898
40.0,85.493,85.493
40.0,85.349,82.802
40.0,84.317,84.257
40.0,84.257,85.349
40.0,83.696,84.317
40.0,84.257,83.495
40.0,84.317,83.696
40.0,84.317,82.766
40.0,83.696,85.311
40.0,84.398,87.297
40.0,84.398,85.494
40.0,84.398,82.907
40.0,84.398,84.398
40.0,84.398,81.723
40.0,84.398,83.501
40.0,87.152,88.667
40.0,87.152,93.129
40.0,87.152,90.255
40.0,87.152,87.152
40.0,76.105,76.105
40.0,68.911,68.911
40.0,60.968,60.968
40.0,60.771,58.121
40.0,60.771,58.57
40.0,60.771,57.287
40.0,60.771,60.771
40.0,60.771,64.147
40.0,60.771,61.211
40.0,61.211,63.105
40.0,61.915,54.482
40.0,61.211,57.7
40.0,60.425,62.74
40.0,58.017,61.915
40.0,58.413,60.425
40.0,60.306,58.017
40.0,60.198,55.815
40.0,58.413,58.413
40.0,58.413,60.306
40.0,59.459,60.198
40.0,59.459,56.657
40.0,59.459,59.459
40.0,59.459,59.586
40.0,59.459,58.077
40.0,59.586,59.244
40.0,60.552,60.552
40.0,63.458,63.458
40.0,66.977,66.977
40.0,74.958,74.958
40.0,79.336,80.42
40.0,79.336,86.667
40.0,79.336,92.343
40.0,79.336,79.336
40.0,70.243,70.243
40.0,70.243,63.513
40.0,70.243,65.541
40.0,70.243,66.595
40.0,71.108,71.108
40.0,75.609,75.609
40.0,81.872,81.872
40.0,90.061,90.061
40.0,90.061,95.985
40.0,90.061,97.149
40.0,90.061,95.986
40.0,88.553,88.553
40.0,88.06,86.023
40.0,86.023,88.06
40.0,85.898,85.898
40.0,79.427,79.427
40.0,64.6,64.6
40.0,60.414,58.806
40.0,60.414,49.85
40.0,60.414,49.848
40.0,60.414,60.414
40.0,73.647,73.647
40.0,87.878,87.878
40.0,87.878,92.819
40.0,89.32,94.398
40.0,92.819,95.024
40.0,94.398,86.084
40.0,95.024,89.32
40.0,95.024,95.088
40.0,89.32,102.887
40.0,89.32,96.204
40.0,84.082,84.082
40.0,72.325,72.325
40.0,54.919,53.939
40.0,54.919,44.042
40.0,54.919,47.244
40.0,54.919,54.919
40.0,66.397,66.397
40.0,77.283,77.704
40.0,77.283,84.144
40.0,77.283,82.835
40.0,77.283,77.283
40.0,77.283,74.363
40.0,77.067,75.024
40.0,77.016,77.016
40.0,75.024,79.224
40.0,75.024,77.067
40.0,71.623,71.623
40.0,71.623,63.68
40.0,71.623,66.183
40.0,71.623,68.669
40.0,76.803,76.803
40.0,76.803,81.088
40.0,76.803,85.869
40.0,76.803,81.391
40.0,75.871,75.871
40.0,75.871,69.179
40.0,75.871,73.616
40.0,75.871,73.916
40.0,87.408,87.408
40.0,94.623,122.568
40.0,94.623,120.345
40.0,94.623,109.836
40.0,94.623,94.623
40.0,85.419,85.419
40.0,79.451,79.451
40.0,73.811,73.811
40.0,69.518,69.518
40.0,63.124,62.166
40.0,63.124,59.183
40.0,63.124,61.178
40.0,63.124,63.124
40.0,68.801,68.801
40.0,68.801,74.956
40.0,68.801,73.741
40.0,68.801,70.887
40.0,66.43,66.106
40.0,66.115,61.301
40.0,66.115,62.447
40.0,66.115,66.43
40.0,66.43,66.115
40.0,66.611,69.423
40.0,66.611,69.913
40.0,66.611,69.283
40.0,66.611,66.611
40.0,65.698,65.698
40.0,60.898,60.898
40.0,54.422,54.422
40.0,52.522,52.522
40.0,51.292,47.697
40.0,50.455,49.447
40.0,50.455,51.292
40.0,50.33,50.455
40.0,50.455,49.664
40.0,51.292,51.814
40.0,51.814,50.33
40.0,55.273,55.273
40.0,57.158,57.158
40.0,58.471,58.471
40.0,60.956,60.956
40.0,60.956,61.142
40.0,60.956,65.743
40.0,60.956,62.268
40.0,60.073,60.073
40.0,58.534,58.534
40.0,58.534,55.719
40.0,58.534,53.799
40.0,58.534,57.85
40.0,59.106,59.106
40.0,61.935,61.935
40.0,69.304,69.304
40.0,79.289,79.289
40.0,88.876,88.876
40.0,88.876,92.783
40.0,88.876,95.363
40.0,92.783,94.469
40.0,94.469,87.7
40.0,95.363,88.51
40.0,97.562,97.562
40.0,97.562,97.562
40.0,104.128,106.601
40.0,104.128,110.258
40.0,104.128,112.1
40.0,104.128,104.128
40.0,84.133,84.133
40.0,68.131,68.131
40.0,57.115,57.115
40.0,55.715,46.425
40.0,55.715,47.71
40.0,55.715,50.855
40.0,55.715,55.715
40.0,65.186,65.186
40.0,74.534,79.03
40.0,74.534,90.953
40.0,74.534,95.638
40.0,74.534,74.534
40.0,61.681,61.681
40.0,61.681,56.95
40.0,61.681,58.099
40.0,61.681,60.606
40.0,63.963,63.963
40.0,67.625,67.625
40.0,71.789,73.272
40.0,71.789,76.418
40.0,71.789,73.595
40.0,71.789,71.789
40.0,66.621,66.261
40.0,66.261,66.621
40.0,64.145,60.802
40.0,64.145,58.173
40.0,64.145,60.075
40.0,63.606,64.145
40.0,63.606,66.009
40.0,63.606,64.883
40.0,63.606,63.606
40.0,61.526,61.526
40.0,61.245,61.163
40.0,61.163,57.268
40.0,61.163,61.245
40.0,61.163,60.758
40.0,61.245,58.844
40.0,62.816,62.816
40.0,68.881,68.881
40.0,75.51,75.51
40.0,78.444,83.396
40.0,78.444,80.594
40.0,78.444,81.894
40.0,78.444,78.444
40.0,64.898,64.898
40.0,59.734,59.734
40.0,56.46,52.386
40.0,56.46,50.751
40.0,56.46,50.034
40.0,56.46,56.46
40.0,63.25,63.25
40.0,69.671,69.671
40.0,76.313,76.313
40.0,79.301,79.579
40.0,79.579,81.01
40.0,80.243,80.243
40.0,81.01,79.301
40.0,82.884,82.884
40.0,90.179,90.179
40.0,94.523,94.523
40.0,101.324,101.324
40.0,103.582,103.582
40.0,103.582,103.582
40.0,103.582,104.803
40.0,103.582,104.224
40.0,101.678,101.678
40.0,97.407,97.407
40.0,92.733,92.733
40.0,83.768,83.768
40.0,77.536,77.536
40.0,69.255,69.255
40.0,69.255,67.651
40.0,69.255,61.798
40.0,69.255,65.298
40.0,70.602,70.602
40.0,74.65,74.65
40.0,80.848,82.586
40.0,80.848,85.453
40.0,80.848,87.75
40.0,80.848,80.848
40.0,74.017,74.017
40.0,66.265,66.265
40.0,66.265,61.466
40.0,66.265,59.274
40.0,66.265,64.14
40.0,67.541,68.186
40.0,68.186,67.541
40.0,75.398,75.398
40.0,77.553,78.406
40.0,77.553,77.553
40.0,77.553,80.089
40.0,77.553,79.586
40.0,77.446,77.446
40.0,74.218,73.11
40.0,74.141,70.966
40.0,73.672,72.519
40.0,73.11,74.218
40.0,73.672,74.141
40.0,74.053,73.672
40.0,74.141,71.336
40.0,74.141,74.053
40.0,77.997,77.997
40.0,78.993,78.993
40.0,82.324,82.324
40.0,86.724,86.724
40.0,91.378,91.378
40.0,93.08,93.209
40.0,93.08,99.065
40.0,93.08,100.457
40.0,93.08,93.08
40.0,84.469,84.469
40.0,78.955,78.955
40.0,74.66,74.66
40.0,74.66,74.66
40.0,72.493,72.493
40.0,71.798,71.798
40.0,68.403,68.403
40.0,65.671,65.671
40.0,61.233,61.233
40.0,56.061,56.061
40.0,55.568,55.568
40.0,53.823,51.105
40.0,53.823,48.131
40.0,53.823,52.326
40.0,53.823,53.823
40.0,54.188,56.018
40.0,54.345,56.541
40.0,54.682,54.188
40.0,56.018,54.345
40.0,56.541,54.682
40.0,58.663,58.663
40.0,61.969,64.45
40.0,62.436,63.074
40.0,62.461,62.461
40.0,63.074,61.969
40.0,63.074,62.436
40.0,74.047,74.047
40.0,84.98,84.98
40.0,84.98,95.575
40.0,84.98,96.582
40.0,84.98,89.201
40.0,77.631,77.631
40.0,67.782,67.782
