Clipping,Median_Filter,Despike
40.0,106.813,106.813
40.0,100.938,100.938
40.0,94.375,94.375
40.0,91.563,89.813
40.0,89.813,91.563
40.0,89.813,87.188
40.0,89.813,84.188
40.0,87.188,84.625
40.0,85.625,90.313
40.0,84.625,91.563
40.0,84.625,85.625
40.0,74.188,74.188
40.0,65.875,65.875
40.0,65.813,63.625
40.0,65.375,65.375
40.0,65.375,65.813
40.0,65.375,64.5
40.0,65.813,65.313
40.0,67.063,67.063
40.0,70.25,70.25
40.0,72.125,72.125
40.0,72.125,79.563
40.0,72.125,80.563
40.0,72.125,75.813
40.0,65.625,65.625
40.0,65.625,57.25
40.0,65.625,59.625
40.0,65.625,62.0
40.0,68.438,68.438
40.0,68.438,71.063
40.0,69.875,71.188
40.0,70.938,70.938
40.0,71.063,66.813
40.0,71.188,69.875
40.0,73.188,73.188
40.0,77.375,81.0
40.0,77.375,82.188
40.0,77.375,82.063
40.0,77.375,77.375
40.0,76.25,74.75
40.0,75.5,73.688
40.0,75.5,76.25
40.0,75.5,73.938
40.0,76.25,75.5
40.0,76.25,77.938
40.0,75.5,85.75
40.0,77.938,81.875
40.0,79.938,75.125
40.0,81.875,73.375
40.0,79.938,79.938
40.0,75.563,89.5
40.0,75.563,85.813
40.0,75.563,75.563
40.0,60.156,60.156
40.0,58.844,55.938
40.0,55.938,55.063
40.0,55.938,58.844
40.0,55.938,55.906
40.0,56.375,54.781
40.0,58.844,56.375
40.0,58.5,65.125
40.0,61.313,67.813
40.0,64.938,64.938
40.0,65.125,58.5
40.0,67.813,61.313
40.0,80.563,80.563
40.0,104.438,104.438
40.0,108.313,116.5
40.0,109.313,110.875
40.0,109.313,109.313
40.0,109.313,108.313
40.0,108.313,111.688
40.0,100.063,100.063
40.0,100.063,100.063
40.0,95.0,95.0
40.0,80.563,80.563
40.0,63.031,63.031
40.0,43.813,43.813
33.625,33.625,33.625
29.656,29.656,29.656
26.719,26.719,26.719
22.641,24.406,22.641
20.953,24.406,20.953
22.562,24.406,22.562
24.406,24.406,24.406
24.875,24.422,24.875
25.078,24.875,25.078
24.422,25.078,24.422
27.781,27.781,27.781
29.734,29.734,29.734
39.656,39.656,39.656
40.0,48.75,48.75
40.0,50.188,52.406
40.0,52.406,50.188
40.0,54.906,54.906
40.0,68.063,68.063
40.0,74.188,79.813
40.0,74.188,88.5
40.0,74.188,85.188
40.0,74.188,74.188
40.0,74.188,74.188
40.0,74.188,55.406
40.0,74.188,47.875
40.0,74.188,58.219
40.0,79.25,79.25
40.0,79.25,93.125
40.0,79.25,94.25
40.0,79.25,84.875
40.0,77.125,77.125
40.0,70.563,70.563
40.0,70.563,61.813
40.0,70.563,62.188
40.0,70.563,62.563
40.0,74.5,74.5
40.0,84.625,84.625
40.0,90.063,94.25
40.0,90.063,101.0
40.0,90.063,97.75
40.0,90.063,90.063
40.0,79.625,79.625
40.0,77.438,73.813
40.0,73.813,77.438
40.0,72.625,72.625
40.0,69.813,69.813
40.0,67.875,65.438
40.0,67.875,65.875
40.0,67.875,67.25
40.0,67.875,67.875
40.0,75.0,75.0
40.0,80.938,80.938
40.0,86.75,86.75
40.0,92.125,92.125
40.0,92.813,95.0
40.0,92.813,98.625
40.0,92.813,97.5
40.0,92.813,92.813
40.0,72.375,72.375
40.0,48.281,48.281
27.25,27.25,27.25
19.875,21.719,19.875
16.906,21.719,16.906
18.391,21.719,18.391
21.719,21.719,21.719
