Clipping,Median_Filter,Despike
40.0,76.34,76.34
40.0,76.34,83.74
40.0,76.34,83.19
40.0,76.34,80.44
40.0,75.42,75.42
40.0,71.5,71.5
40.0,70.01,69.63
40.0,69.63,70.01
40.0,67.56,67.56
40.0,67.33,67.33
40.0,66.55,64.77
40.0,66.25,64.8
40.0,66.13,66.25
40.0,65.54,66.55
40.0,65.54,66.13
40.0,65.54,65.54
40.0,63.07,63.07
40.0,59.71,59.71
40.0,57.86,57.86
40.0,54.8,54.8
40.0,54.8,51.8
40.0,54.8,52.62
40.0,54.8,53.66
40.0,55.79,55.79
40.0,58.54,58.54
40.0,60.95,60.95
40.0,66.56,66.56
40.0,67.99,70.88
40.0,67.99,71.57
40.0,67.99,72.53
40.0,67.99,67.99
40.0,62.67,60.31
40.0,62.67,55.52
40.0,62.67,56.07
40.0,62.67,62.67
40.0,63.2,66.9
40.0,63.2,68.54
40.0,63.2,68.7
40.0,63.2,63.2
40.0,60.33,60.33
40.0,58.16,58.16
40.0,52.61,52.61
40.0,45.72,45.72
35.92,35.92,35.92
26.62,26.62,26.62
24.14,25.7,24.14
24.36,25.7,24.36
23.28,25.7,23.28
25.7,25.7,25.7
28.2,28.2,28.2
28.35,28.35,28.35
31.71,31.71,31.71
35.52,35.52,35.52
39.11,39.11,39.11
40.0,44.57,44.57
40.0,54.42,54.42
40.0,61.72,61.72
40.0,66.81,66.81
40.0,74.17,74.17
40.0,82.18,82.18
40.0,83.45,85.67
40.0,84.2,87.06
40.0,85.67,84.2
40.0,87.06,83.45
40.0,90.42,90.42
40.0,92.63,100.83
40.0,92.63,108.34
40.0,92.63,107.75
40.0,92.63,92.63
40.0,70.46,70.46
40.0,55.67,55.67
40.0,51.66,49.35
40.0,49.73,46.82
40.0,49.73,48.11
40.0,49.73,51.66
40.0,51.46,49.73
40.0,51.66,51.46
40.0,54.67,54.67
40.0,56.96,56.96
40.0,58.67,58.67
40.0,60.77,61.19
40.0,60.99,60.77
40.0,61.19,60.99
40.0,63.65,63.65
40.0,66.98,66.98
40.0,68.44,68.44
40.0,71.39,71.39
40.0,71.39,73.08
40.0,71.39,71.86
40.0,71.39,71.83
40.0,70.27,70.27
40.0,69.65,69.65
40.0,66.78,66.78
40.0,64.06,64.06
40.0,60.24,60.24
40.0,60.24,58.25
40.0,60.24,56.79
40.0,60.24,58.0
40.0,60.75,60.75
40.0,64.48,64.48
40.0,65.37,65.37
40.0,65.37,65.84
40.0,65.37,67.38
40.0,65.37,67.07
40.0,65.28,65.28
40.0,65.28,65.26
40.0,65.28,63.4
40.0,65.28,64.1
40.0,66.77,66.77
40.0,66.77,69.72
40.0,66.77,71.0
40.0,66.77,69.77
40.0,64.39,64.39
40.0,60.94,60.94
40.0,56.89,56.89
40.0,54.2,54.2
40.0,54.2,53.14
40.0,54.2,52.7
40.0,54.2,51.93
40.0,56.1,56.1
40.0,61.49,61.49
40.0,68.77,68.77
40.0,78.57,78.57
40.0,84.66,85.47
40.0,84.66,88.63
40.0,84.66,88.97
40.0,84.66,84.66
40.0,76.48,76.48
40.0,69.35,69.35
40.0,63.07,63.07
40.0,63.07,59.01
40.0,63.07,59.94
40.0,63.07,61.89
40.0,63.84,63.84
40.0,63.84,65.13
40.0,63.84,65.86
40.0,63.84,64.98
40.0,63.13,63.13
40.0,61.3,61.3
40.0,59.07,59.07
40.0,54.86,54.86
40.0,52.06,52.06
40.0,50.38,50.25
40.0,50.38,49.94
40.0,50.38,49.52
40.0,50.38,50.38
40.0,51.74,51.74
40.0,54.38,54.38
40.0,57.35,57.35
40.0,60.11,60.11
40.0,60.58,60.58
40.0,60.58,62.39
40.0,60.58,64.39
40.0,60.58,63.97
40.0,58.9,58.9
40.0,49.15,49.15
37.28,37.28,37.28
37.28,37.28,37.28
24.56,24.56,24.56
18.18,18.18,18.18
15.89,15.89,15.89
15.67,15.77,15.67
15.77,15.67,15.77
14.62,15.63,14.62
13.92,15.63,13.92
14.0,15.63,14.0
15.63,15.63,15.63
18.49,18.49,18.49
23.27,23.27,23.27
29.04,29.04,29.04
33.5,33.5,33.5
35.92,35.92,35.92
37.3,35.92,37.3
37.93,35.92,37.93
37.01,35.92,37.01
34.72,34.72,34.72
33.39,33.39,33.39
32.48,32.48,32.48
30.69,30.69,30.69
30.51,30.69,30.51
29.42,30.69,29.42
30.47,30.69,30.47
32.09,31.58,32.09
32.14,31.58,32.14
32.99,31.58,32.99
31.58,32.09,31.58
29.07,32.14,29.07
29.97,32.99,29.97
37.44,37.44,37.44
40.0,52.59,52.59
40.0,68.18,68.18
40.0,80.25,80.25
40.0,83.41,86.51
40.0,84.51,86.09
40.0,85.03,86.09
40.0,86.09,83.41
40.0,85.73,84.51
40.0,85.03,85.03
40.0,84.51,87.36
40.0,84.51,85.73
40.0,80.2,80.2
40.0,76.12,76.12
40.0,74.5,74.5
40.0,73.97,73.97
40.0,71.24,71.24
40.0,66.7,66.7
40.0,66.7,66.7
40.0,59.42,59.42
40.0,49.0,49.0
39.46,39.46,39.46
32.31,32.31,32.31
26.09,26.09,26.09
22.37,22.37,22.37
19.97,19.97,19.97
18.36,18.36,18.36
16.5,17.86,16.5
14.84,17.86,14.84
15.72,17.86,15.72
17.86,17.86,17.86
19.9,19.9,19.9
22.42,19.9,22.42
22.62,19.9,22.62
20.93,19.9,20.93
19.85,20.93,19.85
18.3,20.93,18.3
19.39,20.93,19.39
24.34,24.34,24.34
29.67,29.67,29.67
33.9,33.9,33.9
39.83,39.83,39.83
40.0,44.94,44.94
40.0,48.55,48.55
40.0,57.21,57.21
40.0,60.19,60.19
40.0,60.63,60.63
40.0,64.74,64.74
40.0,72.79,72.79
40.0,75.88,78.41
40.0,75.88,83.39
40.0,75.88,82.25
40.0,75.88,75.88
40.0,72.24,72.24
40.0,67.99,67.99
40.0,65.41,65.41
40.0,64.93,64.93
40.0,64.93,61.87
40.0,64.93,59.81
40.0,64.93,60.59
40.0,65.68,65.68
40.0,72.51,73.12
40.0,72.51,77.69
40.0,72.51,77.23
40.0,72.51,72.51
40.0,59.53,59.53
40.0,59.53,59.53
40.0,46.1,46.1
34.9,34.9,34.9
27.06,27.06,27.06
23.8,27.06,23.8
23.73,27.06,23.73
25.3,27.06,25.3
30.73,30.73,30.73
40.0,40.11,40.11
40.0,51.02,51.02
40.0,59.94,59.94
40.0,62.96,66.64
40.0,63.92,67.56
40.0,64.7,64.7
40.0,66.19,62.96
40.0,66.19,63.92
40.0,66.19,66.19
40.0,66.4,67.73
40.0,66.4,69.53
40.0,66.4,69.57
40.0,66.4,66.4
40.0,63.73,63.73
40.0,63.73,61.19
40.0,63.73,61.34
40.0,63.73,63.16
40.0,67.6,67.6
40.0,72.12,72.68
40.0,72.12,76.58
40.0,72.12,76.67
40.0,72.12,72.12
40.0,60.07,60.07
40.0,48.91,48.91
39.4,39.4,39.4
33.8,36.28,33.8
34.66,34.66,34.66
36.28,34.45,36.28
34.45,33.8,34.45
30.67,30.67,30.67
26.59,29.99,26.59
23.77,29.99,23.77
25.2,29.99,25.2
29.99,29.99,29.99
37.46,37.46,37.46
40.0,47.6,47.6
40.0,57.5,57.5
40.0,68.77,68.77
40.0,80.03,80.03
40.0,84.28,84.28
40.0,85.4,85.4
40.0,88.92,88.92
40.0,89.45,89.45
40.0,90.91,90.91
40.0,94.18,97.24
40.0,94.18,100.16
40.0,94.18,100.42
40.0,94.18,94.18
40.0,94.18,94.18
40.0,81.3,81.3
40.0,64.21,64.21
40.0,48.35,48.35
36.53,37.31,36.53
33.58,37.31,33.58
34.97,37.31,34.97
37.31,36.53,37.31
38.17,35.15,38.17
38.05,35.15,38.05
35.15,35.15,35.15
32.92,32.92,32.92
30.87,32.92,30.87
30.25,32.92,30.25
31.22,32.92,31.22
34.06,34.06,34.06
35.49,35.49,35.49
36.73,35.91,36.73
37.54,35.97,37.54
35.97,35.97,35.97
35.91,35.97,35.91
36.21,35.91,36.21
34.79,35.83,34.79
34.92,35.83,34.92
35.83,35.83,35.83
35.65,35.83,35.65
37.74,37.74,37.74
40.0,41.79,41.79
40.0,46.41,46.41
40.0,50.39,51.44
40.0,50.39,54.21
40.0,51.44,52.96
40.0,52.96,50.39
40.0,54.21,50.0
40.0,60.82,60.82
40.0,99.31,99.31
40.0,166.94,166.94
40.0,235.25,235.25
40.0,252.41,285.47
40.0,252.41,305.87
40.0,252.41,291.37
40.0,252.41,252.41
40.0,208.53,208.53
40.0,169.07,169.07
40.0,136.52,136.52
40.0,108.53,108.53
40.0,89.16,89.16
40.0,80.39,80.39
40.0,78.07,78.07
40.0,76.31,76.31
40.0,75.05,72.35
40.0,74.77,74.77
40.0,72.35,75.05
40.0,71.98,71.98
40.0,71.05,71.05
40.0,68.96,68.96
40.0,68.59,64.84
40.0,68.59,65.22
40.0,68.59,66.6
40.0,68.59,68.59
40.0,73.44,73.44
40.0,76.76,76.76
40.0,76.76,78.76
40.0,76.76,80.33
40.0,76.76,77.14
40.0,71.91,71.91
40.0,68.44,68.44
40.0,66.29,64.99
40.0,66.29,64.47
40.0,66.29,64.96
40.0,66.29,66.29
40.0,67.43,67.6
40.0,67.6,67.43
40.0,68.87,68.87
40.0,73.88,73.88
40.0,77.89,77.89
40.0,83.49,83.49
40.0,83.49,87.98
40.0,83.49,86.45
40.0,83.49,86.29
40.0,82.18,82.18
40.0,77.07,77.07
40.0,72.45,72.45
40.0,63.1,63.1
40.0,49.23,49.23
37.7,37.7,37.7
26.37,26.37,26.37
19.57,19.57,19.57
17.32,19.57,17.32
17.09,19.57,17.09
19.53,19.57,19.53
25.62,25.62,25.62
33.05,33.05,33.05
40.0,42.69,42.69
40.0,42.69,47.37
40.0,42.69,47.9
40.0,42.69,45.19
40.0,40.54,40.54
38.91,39.62,38.91
39.62,38.91,39.62
38.84,38.84,38.84
37.8,37.8,37.8
35.03,37.8,35.03
33.44,37.8,33.44
36.21,37.8,36.21
40.0,38.84,40.89
40.0,38.84,43.3
40.0,38.84,43.27
38.84,38.84,38.84
35.26,37.35,35.26
31.52,37.35,31.52
34.32,37.35,34.32
37.35,37.35,37.35
39.69,39.69,39.69
40.0,43.08,43.08
40.0,46.27,46.27
40.0,47.77,47.77
40.0,49.96,49.96
40.0,50.21,51.09
40.0,50.21,50.21
40.0,50.21,50.4
40.0,50.21,50.99
40.0,49.18,49.18
40.0,49.18,48.64
40.0,49.18,47.11
40.0,49.18,48.61
40.0,55.32,55.32
40.0,60.5,60.5
40.0,69.16,69.16
40.0,69.16,77.53
40.0,69.16,76.88
40.0,69.16,70.4
40.0,70.4,63.2
40.0,70.4,53.89
40.0,70.4,56.2
40.0,78.23,78.23
40.0,112.92,112.92
40.0,140.93,144.15
40.0,140.93,157.21
40.0,140.93,152.6
40.0,140.93,140.93
40.0,122.45,122.45
40.0,110.67,110.67
40.0,108.85,108.85
40.0,105.74,105.74
40.0,100.04,100.04
40.0,92.64,92.64
40.0,80.47,80.47
40.0,66.94,66.94
40.0,59.88,54.06
40.0,59.88,47.87
40.0,59.88,49.34
40.0,59.88,59.88
