Clipping,Median_Filter,Despike
40.0,63.5,63.5
40.0,79.438,80.875
40.0,79.438,87.813
40.0,79.438,86.75
40.0,79.438,79.438
40.0,79.438,77.5
40.0,77.5,72.75
40.0,76.563,76.563
40.0,74.25,79.625
40.0,72.75,74.25
40.0,71.0,71.0
40.0,70.0,67.438
40.0,70.0,70.0
40.0,70.0,66.438
40.0,69.25,67.25
40.0,69.25,71.563
40.0,67.25,70.125
40.0,67.25,69.25
40.0,65.625,65.625
40.0,53.125,53.125
40.0,40.25,40.25
33.625,39.594,33.625
35.063,39.594,35.063
35.844,39.594,35.844
39.594,39.594,39.594
39.969,39.875,39.969
40.0,39.969,40.688
39.875,40.688,39.875
40.0,46.813,46.813
40.0,51.281,51.281
40.0,67.188,67.188
40.0,71.563,71.563
40.0,75.375,75.375
40.0,75.375,75.813
40.0,75.375,79.375
40.0,75.375,79.438
40.0,64.438,64.438
40.0,49.438,49.438
40.0,49.438,41.031
40.0,49.438,40.906
40.0,49.438,43.156
40.0,51.344,51.344
40.0,56.75,56.75
40.0,65.5,65.5
40.0,74.813,74.813
40.0,92.188,92.188
40.0,92.188,104.063
40.0,92.188,103.563
40.0,92.188,99.188
40.0,90.375,90.375
40.0,82.063,82.063
40.0,80.063,79.375
40.0,79.375,76.313
40.0,76.313,80.063
40.0,76.063,76.063
40.0,65.25,65.25
40.0,45.281,44.719
36.531,45.281,36.531
34.656,45.281,34.656
40.0,45.281,45.281
40.0,50.063,50.063
40.0,54.719,54.719
40.0,54.719,58.5
40.0,54.719,59.563
40.0,54.719,58.281
40.0,47.875,47.875
40.0,44.156,44.156
38.875,44.156,38.875
39.938,40.563,39.938
40.0,40.25,40.25
40.0,39.938,44.219
40.0,40.25,40.563
37.125,40.563,37.125
33.594,43.406,33.594
40.0,43.406,43.406
40.0,43.594,43.594
40.0,43.969,45.563
40.0,43.969,43.969
40.0,43.969,47.719
40.0,43.969,46.125
40.0,43.219,43.219
38.313,40.0,38.313
40.0,39.063,40.0
36.656,39.063,36.656
39.063,39.063,39.063
39.063,39.063,39.063
38.375,39.063,38.375
40.0,41.75,41.75
40.0,43.844,43.844
40.0,45.875,47.469
40.0,47.0,48.469
40.0,47.469,45.875
40.0,48.469,47.0
40.0,50.469,50.469
40.0,53.844,53.844
40.0,55.313,55.313
40.0,60.563,60.563
40.0,67.75,67.75
40.0,70.063,72.313
40.0,70.063,73.313
40.0,70.063,73.375
40.0,70.063,70.063
40.0,70.063,70.063
40.0,64.313,64.313
40.0,60.75,60.75
40.0,55.25,55.25
40.0,55.25,55.156
40.0,55.25,55.156
40.0,55.25,52.25
40.0,57.844,57.844
40.0,61.844,61.844
40.0,70.188,70.188
40.0,71.938,71.938
40.0,72.688,74.563
40.0,74.563,72.688
40.0,77.438,77.438
40.0,77.438,80.813
40.0,77.438,82.875
40.0,77.438,80.813
40.0,71.75,71.75
40.0,65.688,64.313
40.0,64.313,60.563
40.0,60.563,65.688
40.0,60.563,59.125
40.0,60.563,57.563
40.0,60.719,54.156
40.0,60.719,60.719
40.0,64.0,64.0
40.0,64.0,68.063
40.0,64.0,66.688
40.0,65.125,65.125
40.0,65.313,61.375
40.0,65.125,62.125
40.0,62.125,67.438
40.0,61.375,65.313
40.0,60.219,60.219
40.0,46.75,46.75
38.688,38.688,38.688
26.547,29.125,26.547
21.375,29.125,21.375
23.234,29.125,23.234
29.125,27.703,29.125
32.938,27.703,32.938
33.094,28.172,33.094
27.703,29.125,27.703
27.672,32.469,27.672
28.172,32.469,28.172
32.469,32.469,32.469
37.656,37.656,37.656
40.0,43.531,43.531
40.0,51.219,51.219
40.0,57.625,60.719
40.0,60.281,63.031
40.0,60.719,65.125
40.0,63.031,57.625
40.0,65.125,60.281
40.0,75.125,75.125
40.0,75.125,97.313
40.0,75.125,100.375
40.0,75.125,89.25
40.0,78.0,72.063
40.0,78.0,72.625
40.0,78.0,73.813
