Clipping,Median_Filter,Despike
32.78,32.78,32.78
23.5,31.12,23.5
28.33,31.12,28.33
31.12,31.12,31.12
28.68,31.12,28.68
31.67,31.67,31.67
39.75,36.56,39.75
36.56,36.56,36.56
36.56,36.56,36.56
37.21,36.56,37.21
35.8,36.56,35.8
36.56,36.084,36.56
36.084,35.8,36.084
29.344,29.344,29.344
19.462,23.371,19.462
19.552,23.371,19.552
20.653,23.371,20.653
23.371,23.371,23.371
31.453,31.453,31.453
37.844,35.063,37.844
40.0,35.063,43.313
40.0,35.063,41.906
35.063,35.063,35.063
32.531,34.281,32.531
30.906,34.281,30.906
32.188,34.281,32.188
34.281,34.281,34.281
40.0,40.844,40.844
40.0,42.688,52.281
40.0,42.688,48.125
40.0,42.688,49.406
40.0,42.688,42.688
40.0,42.688,41.438
37.219,42.531,37.219
38.656,41.438,38.656
40.0,41.188,43.0
40.0,39.219,42.531
40.0,40.938,41.188
38.25,40.938,38.25
39.219,39.219,39.219
40.0,38.25,40.938
38.0,38.0,38.0
37.938,37.938,37.938
35.156,37.938,35.156
36.094,37.938,36.094
37.063,37.938,37.063
40.0,40.906,41.0
40.0,40.906,42.031
40.0,40.906,43.344
40.0,41.0,40.906
40.0,42.031,40.531
39.5,42.281,39.5
40.0,42.281,42.281
40.0,42.406,46.063
40.0,42.406,47.063
40.0,44.531,45.719
40.0,45.719,42.406
40.0,45.719,41.594
40.0,45.719,44.531
40.0,49.25,49.25
40.0,59.594,59.594
40.0,74.0,74.0
40.0,74.0,127.5
40.0,74.0,185.25
40.0,74.0,222.5
40.0,74.0,74.0
18.297,26.609,18.297
26.609,26.609,26.609
26.609,26.609,26.609
