Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,GR_clipped,GR_median_7,GR_median_9,GR_median_11,GR_median_15
3,A1 SH,SHRIMPLIN,2793,77.45,0.664,9.9,11.915,4.6,1,1,77.45,77.45,77.45,77.45,77.45
3,A1 SH,SHRIMPLIN,2793.5,78.26,0.661,14.2,12.565,4.1,1,0.979,78.26,77.45,77.45,77.45,77.45
3,A1 SH,SHRIMPLIN,2794,79.05,0.658,14.8,13.05,3.6,1,0.957,79.05,77.45,77.45,77.45,77.45
3,A1 SH,SHRIMPLIN,2794.5,86.1,0.655,13.9,13.115,3.5,1,0.936,86.1,77.45,77.45,77.45,77.45
3,A1 SH,SHRIMPLIN,2795,74.58,0.647,13.5,13.3,3.4,1,0.915,74.58,75.65,75.65,76.89,76.89
3,A1 SH,SHRIMPLIN,2795.5,73.97,0.636,14,13.385,3.6,1,0.894,73.97,74.58,75.65,76.11,76.11
3,A1 SH,SHRIMPLIN,2796,73.72,0.63,15.6,13.93,3.7,1,0.872,73.72,74.58,75.65,75.65,76.11
3,A1 SH,SHRIMPLIN,2796.5,75.65,0.625,16.5,13.92,3.5,1,0.83,75.65,74.58,74.95,74.95,76.11
3,A1 SH,SHRIMPLIN,2797,73.79,0.624,16.2,13.98,3.4,1,0.809,73.79,74.95,74.58,74.95,76.11
3,A1 SH,SHRIMPLIN,2797.5,76.89,0.615,16.9,14.22,3.5,1,0.787,76.89,74.95,74.95,74.95,75.65
3,A1 SH,SHRIMPLIN,2798,76.11,0.6,14.8,13.375,3.6,1,0.766,76.11,75.65,75.65,75.65,74.95
3,A1 SH,SHRIMPLIN,2798.5,74.95,0.583,13.3,12.69,3.7,1,0.745,74.95,76.11,76.11,75.65,74.58
3,A1 SH,SHRIMPLIN,2799,71.87,0.561,11.3,12.475,3.5,1,0.723,71.87,76.89,76.11,75.65,73.97
3,A1 SH,SHRIMPLIN,2799.5,83.42,0.537,13.3,14.93,3.4,1,0.702,83.42,76.11,76.11,74.95,73.79
2,A1 SH,SHRIMPLIN,2800,90.1,0.519,14.3,16.555,3.2,1,0.681,90.1,74.95,74.95,74.95,73.79
2,A1 SH,SHRIMPLIN,2800.5,78.15,0.467,11.8,15.96,3.1,1,0.638,78.15,71.87,71.87,71.87,71.87
2,A1 SH,SHRIMPLIN,2801,69.3,0.438,9.5,15.12,3.1,1,0.617,69.3,69.3,69.3,69.3,69.3
2,A1 SH,SHRIMPLIN,2801.5,63.54,0.418,8.8,15.19,3,1,0.596,63.54,63.87,63.87,63.87,66.2
2,A1 SH,SHRIMPLIN,2802,63.87,0.401,7.2,15.39,2.9,1,0.574,63.87,63.54,63.67,63.87,66.2
2,A1 SH,SHRIMPLIN,2802.5,58.32,0.386,6.6,14.885,2.8,1,0.553,58.32,63.54,63.67,63.67,66.2
